date,amount,description,type
2024-01-15,1250.50,Продукты в Пятерочке на неделю,расход
2024-01-10,50000,Зарплата за январь,доход
2024-01-08,350,Проездной на метро,расход
2024-01-05,2200,Ужин в ресторане Суши-Мастер,расход
2024-01-03,450,Лекарства в аптеке,расход
2024-01-18,780.90,Продукты в Магните у дома,расход
2024-01-17,2500,Аванс по проекту,доход
2024-01-16,150,Проезд на автобусе,расход
2024-01-15,3200,Одежда в Wildberries,расход
2024-01-14,650,Ужин в кафе с друзьями,расход
2024-01-13,320,Заправка АИ-95 на Лукойл,расход
2024-01-12,15000,Оплата по фриланс проекту,доход
2024-01-11,890,Лечение зуба в стоматологии,расход
2024-01-10,140,Кофе в Starbucks,расход
2024-01-09,5600,Аренда квартиры,расход
2024-01-08,430,Учебники в книжном магазине,расход
2024-01-07,1250,Продукты в супермаркете,расход
2024-01-06,750,Возврат долга от друга,доход
2024-01-05,290,Стрижка в барбершопе,расход
2024-01-04,1800,Ремонт iPhone в сервисе,расход
2024-01-03,95,Поездка на метро на работу,расход
2024-01-02,670,Лекарства в аптеке 36.6,расход
2024-01-01,3500,Новогодний ужин в ресторане,расход
2024-02-01,48000,Зарплата за февраль,доход
2024-02-02,2100,Продукты в Ашане,расход
2024-02-03,880,Поездка на такси Яндекс,расход
2024-02-04,540,Билеты в кино на Аватара,расход
2024-02-05,120,Проезд на электричке,расход
2024-02-06,1560,Подарок на день рождения,расход
2024-02-07,3200,Оплата интернета от Ростелеком,расход
2024-02-08,740,Кроссовки в Спортмастере,расход
2024-02-09,430,Витамины в аптеке,расход
2024-02-10,90,Кофе в Coffee House,расход
2024-02-11,3000,Премия по итогам месяца,доход
2024-02-12,180,Обед в столовой на работе,расход
2024-02-13,2500,Кожаные ботинки в магазине,расход
2024-02-14,1100,Цветы и ужин на 14 февраля,расход
2024-02-15,670,Продукты в Дикси,расход
2024-02-16,450,Абонемент в фитнес-клуб,расход
2024-02-17,880,Чайник в М.Видео,расход
2024-02-18,120,Поездка на метро в центр,расход
2024-02-19,1560,Визит к ветеринару с кошкой,расход
2024-02-20,350,Обед в кафе,расход
2024-02-21,20000,Частный заказ на разработку,доход
2024-02-22,5400,Коммунальные услуги за февраль,расход
2024-02-23,230,Канцелярия для офиса,расход
2024-02-24,1700,Продукты на неделю в Перекрестке,расход
2024-02-25,65,Проезд на автобусе до метро,расход
2024-02-26,430,Лекарства по рецепту,расход
2024-02-27,890,Ужин в итальянском ресторане,расход
2024-02-28,320,Заправка на Газпромнефти,расход
2024-02-29,52000,Зарплата с премией за февраль,доход
2024-03-01,890,Продукты в Марии-Ра,расход
2024-03-02,450,Такси в аэропорт,расход
2024-03-03,1200,Билеты в театр,расход
2024-03-04,670,Анализы в Инвитро,расход
2024-03-05,2300,Куртка в Zara,расход
2024-03-06,340,Хозтовары в Леруа Мерлен,расход
2024-03-07,2800,Оплата курсов английского,расход
2024-03-08,150,Перевод другу на карту,расход
2024-03-09,890,Ужин в грузинском ресторане,расход
2024-03-10,560,Фрукты на рынке,расход
2024-03-11,45000,Зарплата за март,доход
2024-03-12,230,Проезд на поезде,расход
2024-03-13,1560,Концерт группы,расход
2024-03-14,780,Визит к врачу в поликлинику,расход
2024-03-15,1890,Обувь в Rieker,расход
2024-03-16,450,Стиральный порошок и средства,расход
2024-03-17,3200,Онлайн-курсы по программированию,расход
2024-03-18,200,Перевод сестре на Сбер,расход
2024-03-19,670,Обед в бизнес-ланче,расход
2024-03-20,1230,Мясо в мясном магазине,расход
2024-03-21,340,Аренда электросамоката,расход
2024-03-22,890,Билеты на выставку,расход
2024-03-23,560,Диагностика в медицинском центре,расход
2024-03-24,2780,Пальто в Ostin,расход
2024-03-25,230,Бумага для принтера,расход
2024-03-26,1500,Вебинар по маркетингу,расход
2024-03-27,300,Перевод на телефон,расход
2024-03-28,450,Завтрак в кофейне,расход
2024-03-29,1670,Рыба и морепродукты,расход
2024-03-30,560,Дизель на заправке,расход
2024-03-31,1200,Боулинг с друзьями,расход
2024-04-01,1340.50,Продукты в Пятерочке на пасху,расход
2024-04-02,52000,Зарплата за март,доход
2024-04-03,420,Проездной на метро на апрель,расход
2024-04-04,1800,Ужин в ресторане Грузинский двор,расход
2024-04-05,560,Витамины в аптеке,расход
2024-04-06,890,Продукты в Магните к выходным,расход
2024-04-07,3000,Премия за перевыполнение плана,доход
2024-04-08,180,Проезд на автобусе до центра,расход
2024-04-09,2450,Одежда в Ozon,расход
2024-04-10,720,Ужин в пиццерии,расход
2024-04-11,380,Заправка АИ-95 на Татнефти,расход
2024-04-12,18000,Оплата веб-разработки,доход
2024-04-13,1200,Чистка зубов в стоматологии,расход
2024-04-14,160,Кофе в Cofix,расход
2024-04-15,5800,Аренда квартиры за апрель,расход
2024-04-16,510,Книги по программированию,расход
2024-04-17,1430,Продукты в супермаркете Ашан,расход
2024-04-18,1200,Возврат долга от коллеги,доход
2024-04-19,320,Стрижка в парикмахерской,расход
2024-04-20,2100,Ремонт ноутбука в сервисе,расход
2024-04-21,95,Поездка на метро в ТЦ,расход
2024-04-22,780,Лекарства в аптеке Ригла,расход
2024-04-23,2900,Ужин в ресторане на годовщину,расход
2024-04-24,48000,Зарплата за апрель,доход
2024-04-25,1980,Продукты в Верном,расход
2024-04-26,940,Такси домой после работы,расход
2024-04-27,620,Билеты в кино на Оппенгеймер,расход
2024-04-28,140,Проезд на электричке на дачу,расход
2024-04-29,1340,Подарок на свадьбу,расход
2024-04-30,3350,Оплата интернета от Дом.ру,расход
2024-05-01,820,Кроссовки в Adidas,расход
2024-05-02,510,Лекарства от аллергии,расход
2024-05-03,110,Кофе в Traveler's Coffee,расход
2024-05-04,3500,Премия к майским праздникам,доход
2024-05-05,210,Обед в столовой бизнес-центра,расход
2024-05-06,2670,Туфли в магазине обуви,расход
2024-05-07,980,Цветы и ужин на 8 марта,расход
2024-05-08,730,Продукты в Дикси у метро,расход
2024-05-09,520,Абонемент в бассейн,расход
2024-05-10,1120,Утюг в Эльдорадо,расход
2024-05-11,120,Поездка на метро на вокзал,расход
2024-05-12,1890,Вакцинация собаки у ветеринара,расход
2024-05-13,420,Обед в кафе с клиентом,расход
2024-05-14,22000,Частный заказ на дизайн,доход
2024-05-15,5670,Коммунальные услуги за май,расход
2024-05-16,280,Канцелярия для дома,расход
2024-05-17,1540,Продукты в Перекрестке на неделю,расход
2024-05-18,75,Проезд на автобусе до работы,расход
2024-05-19,490,Лекарства в социальной аптеке,расход
2024-05-20,1020,Ужин в японском ресторане,расход
2024-05-21,340,Заправка на Роснефти,расход
2024-05-22,54000,Зарплата с премией за май,доход
2024-05-23,940,Продукты в Марии-Ра у дома,расход
2024-05-24,560,Такси в бизнес-центр,расход
2024-05-25,1350,Билеты в Большой театр,расход
2024-05-26,780,Анализы в Хеликс,расход
